"","D29630.1","LC107517","KU697313","AY800279","LC155795","KT717325","KU159093","KX196173","MF978248","JX524226","LC107515","MH423501","FJ822136","GQ179646","AY863024","GQ179647","AY366209","KY348771","KU854931","KU854929","SRR11190802C","KP090203","AY366207","SRR11190798C","SRR11190801C","SRR11603189C","SRR11603187C","SRR11603183B","SRR11603184B","MG210801","SRR11190800B","SRR11190791B","SRR11190802D","SRR11190801D","SRR11190798D","SRR11190795D","JF930327","SRR11603182B","SRR11603184C","SRR11190793B","SRR11190796D","SRR11190797D","SRR11603191C","SRR11603189D","SRR11603187D","SRR11603186C","SRR11603190C","KM288845","SRR11190798B","SRR11190801B","SRR11190802B","SRR11190796B","SRR11190797B","AY366208","KM288844","JF930326","KM288843","KM288842","SRR11603191B","SRR11603189B","SRR11603186B","SRR11603190B","JF937699","KM288846","KX883791","KM288847","15H03_cons","19JSF_sty","15H04_cons","15H06_cons","LC128411","SRR11603186A","SRR11603190A","SRR11603191A","SRR11603187A","SRR11603189A","SRR11190793A","KM365479","SRR11190792A","SRR11603183A","SRR11190795A","AF308158","SRR11190802A","SRR11190796A","SRR11190797A","SRR11603184A","SRR11603182A","SRR11190798A","SRR11190801A","SRR11190799A","SRR11190791A"
"SRR11603184B",0.358407079646018,0.389380530973451,0.424778761061947,0.411504424778761,0.415929203539823,0.402654867256637,0.407079646017699,0.420353982300885,0.398230088495575,0.384955752212389,0.446902654867257,0.464601769911504,0.455752212389381,0.473451327433628,0.469026548672566,0.473451327433628,0.292035398230089,0.287610619469027,0.287610619469027,0.0309734513274336,0.00442477876106195,0.00884955752212389,0.00884955752212389,0,0,0,0,0,0,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.265486725663717,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.256637168141593,0.221238938053097,0.221238938053097,0.221238938053097,0.225663716814159,0.225663716814159,0.234513274336283,0.216814159292035,0.221238938053097,0.225663716814159,0.225663716814159,0.230088495575221,0.230088495575221,0.230088495575221,0.230088495575221,0.261061946902655,0.265486725663717,0.265486725663717,0.269911504424779,0.230088495575221,0.225663716814159,0.225663716814159,0.225663716814159,0.230088495575221,0.230088495575221,0.230088495575221,0.230088495575221,0.230088495575221,0.230088495575221,0.225663716814159,0.234513274336283,0.230088495575221,0.230088495575221,0.225663716814159,0.234513274336283,0.230088495575221,0.230088495575221,0.230088495575221,0.230088495575221,0.230088495575221,0.230088495575221,0.230088495575221,0.230088495575221,0.230088495575221
"MG210801",0.371681415929204,0.353982300884956,0.433628318584071,0.411504424778761,0.424778761061947,0.398230088495575,0.402654867256637,0.389380530973451,0.429203539823009,0.407079646017699,0.402654867256637,0.433628318584071,0.433628318584071,0.433628318584071,0.438053097345133,0.433628318584071,0.305309734513274,0.300884955752212,0.300884955752212,0.265486725663717,0.256637168141593,0.269911504424779,0.269911504424779,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00884955752212389,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00884955752212389,0.00884955752212389,0.00884955752212389,0.00884955752212389,0.00884955752212389,0.234513274336283,0.225663716814159,0.225663716814159,0.225663716814159,0.230088495575221,0.230088495575221,0.243362831858407,0.221238938053097,0.234513274336283,0.230088495575221,0.230088495575221,0.238938053097345,0.238938053097345,0.238938053097345,0.238938053097345,0.225663716814159,0.230088495575221,0.230088495575221,0.234513274336283,0.243362831858407,0.238938053097345,0.238938053097345,0.238938053097345,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.238938053097345,0.243362831858407,0.243362831858407,0.243362831858407,0.238938053097345,0.247787610619469,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407
"SRR11190800B",0.371681415929204,0.358407079646018,0.433628318584071,0.407079646017699,0.420353982300885,0.393805309734513,0.398230088495575,0.393805309734513,0.433628318584071,0.411504424778761,0.407079646017699,0.438053097345133,0.438053097345133,0.438053097345133,0.442477876106195,0.438053097345133,0.305309734513274,0.300884955752212,0.300884955752212,0.265486725663717,0.256637168141593,0.269911504424779,0.269911504424779,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.00442477876106195,0,0,0,0,0,0.00442477876106195,0,0,0,0,0,0,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.238938053097345,0.230088495575221,0.230088495575221,0.230088495575221,0.234513274336283,0.234513274336283,0.238938053097345,0.225663716814159,0.238938053097345,0.234513274336283,0.234513274336283,0.234513274336283,0.234513274336283,0.234513274336283,0.234513274336283,0.225663716814159,0.230088495575221,0.230088495575221,0.234513274336283,0.247787610619469,0.243362831858407,0.243362831858407,0.243362831858407,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.243362831858407,0.247787610619469,0.247787610619469,0.247787610619469,0.243362831858407,0.252212389380531,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469
"SRR11190791B",0.371681415929204,0.358407079646018,0.433628318584071,0.407079646017699,0.420353982300885,0.393805309734513,0.398230088495575,0.393805309734513,0.433628318584071,0.411504424778761,0.407079646017699,0.438053097345133,0.438053097345133,0.438053097345133,0.442477876106195,0.438053097345133,0.305309734513274,0.300884955752212,0.300884955752212,0.265486725663717,0.256637168141593,0.269911504424779,0.269911504424779,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.00442477876106195,0,0,0,0,0,0.00442477876106195,0,0,0,0,0,0,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.238938053097345,0.230088495575221,0.230088495575221,0.230088495575221,0.234513274336283,0.234513274336283,0.238938053097345,0.225663716814159,0.238938053097345,0.234513274336283,0.234513274336283,0.234513274336283,0.234513274336283,0.234513274336283,0.234513274336283,0.225663716814159,0.230088495575221,0.230088495575221,0.234513274336283,0.247787610619469,0.243362831858407,0.243362831858407,0.243362831858407,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.243362831858407,0.247787610619469,0.247787610619469,0.247787610619469,0.243362831858407,0.252212389380531,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469
"SRR11190802D",0.371681415929204,0.358407079646018,0.433628318584071,0.407079646017699,0.420353982300885,0.393805309734513,0.398230088495575,0.393805309734513,0.433628318584071,0.411504424778761,0.407079646017699,0.438053097345133,0.438053097345133,0.438053097345133,0.442477876106195,0.438053097345133,0.305309734513274,0.300884955752212,0.300884955752212,0.265486725663717,0.256637168141593,0.269911504424779,0.269911504424779,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.00442477876106195,0,0,0,0,0,0.00442477876106195,0,0,0,0,0,0,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.238938053097345,0.230088495575221,0.230088495575221,0.230088495575221,0.234513274336283,0.234513274336283,0.238938053097345,0.225663716814159,0.238938053097345,0.234513274336283,0.234513274336283,0.234513274336283,0.234513274336283,0.234513274336283,0.234513274336283,0.225663716814159,0.230088495575221,0.230088495575221,0.234513274336283,0.247787610619469,0.243362831858407,0.243362831858407,0.243362831858407,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.243362831858407,0.247787610619469,0.247787610619469,0.247787610619469,0.243362831858407,0.252212389380531,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469
"SRR11190801D",0.371681415929204,0.358407079646018,0.433628318584071,0.407079646017699,0.420353982300885,0.393805309734513,0.398230088495575,0.393805309734513,0.433628318584071,0.411504424778761,0.407079646017699,0.438053097345133,0.438053097345133,0.438053097345133,0.442477876106195,0.438053097345133,0.305309734513274,0.300884955752212,0.300884955752212,0.265486725663717,0.256637168141593,0.269911504424779,0.269911504424779,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.00442477876106195,0,0,0,0,0,0.00442477876106195,0,0,0,0,0,0,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.238938053097345,0.230088495575221,0.230088495575221,0.230088495575221,0.234513274336283,0.234513274336283,0.238938053097345,0.225663716814159,0.238938053097345,0.234513274336283,0.234513274336283,0.234513274336283,0.234513274336283,0.234513274336283,0.234513274336283,0.225663716814159,0.230088495575221,0.230088495575221,0.234513274336283,0.247787610619469,0.243362831858407,0.243362831858407,0.243362831858407,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.243362831858407,0.247787610619469,0.247787610619469,0.247787610619469,0.243362831858407,0.252212389380531,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469
"SRR11190798D",0.371681415929204,0.358407079646018,0.433628318584071,0.407079646017699,0.420353982300885,0.393805309734513,0.398230088495575,0.393805309734513,0.433628318584071,0.411504424778761,0.407079646017699,0.438053097345133,0.438053097345133,0.438053097345133,0.442477876106195,0.438053097345133,0.305309734513274,0.300884955752212,0.300884955752212,0.265486725663717,0.256637168141593,0.269911504424779,0.269911504424779,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.00442477876106195,0,0,0,0,0,0.00442477876106195,0,0,0,0,0,0,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.238938053097345,0.230088495575221,0.230088495575221,0.230088495575221,0.234513274336283,0.234513274336283,0.238938053097345,0.225663716814159,0.238938053097345,0.234513274336283,0.234513274336283,0.234513274336283,0.234513274336283,0.234513274336283,0.234513274336283,0.225663716814159,0.230088495575221,0.230088495575221,0.234513274336283,0.247787610619469,0.243362831858407,0.243362831858407,0.243362831858407,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.243362831858407,0.247787610619469,0.247787610619469,0.247787610619469,0.243362831858407,0.252212389380531,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469
"SRR11190795D",0.367256637168142,0.358407079646018,0.433628318584071,0.407079646017699,0.420353982300885,0.393805309734513,0.398230088495575,0.393805309734513,0.433628318584071,0.411504424778761,0.407079646017699,0.438053097345133,0.438053097345133,0.438053097345133,0.442477876106195,0.438053097345133,0.309734513274336,0.305309734513274,0.305309734513274,0.269911504424779,0.261061946902655,0.274336283185841,0.274336283185841,0.265486725663717,0.265486725663717,0.265486725663717,0.265486725663717,0.265486725663717,0.265486725663717,0.00884955752212389,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00884955752212389,0.00884955752212389,0.00884955752212389,0.00884955752212389,0.00884955752212389,0.238938053097345,0.225663716814159,0.225663716814159,0.234513274336283,0.230088495575221,0.230088495575221,0.238938053097345,0.221238938053097,0.234513274336283,0.230088495575221,0.230088495575221,0.230088495575221,0.230088495575221,0.230088495575221,0.230088495575221,0.230088495575221,0.234513274336283,0.234513274336283,0.238938053097345,0.252212389380531,0.247787610619469,0.247787610619469,0.247787610619469,0.252212389380531,0.252212389380531,0.252212389380531,0.252212389380531,0.252212389380531,0.252212389380531,0.247787610619469,0.252212389380531,0.252212389380531,0.252212389380531,0.247787610619469,0.256637168141593,0.252212389380531,0.252212389380531,0.252212389380531,0.252212389380531,0.252212389380531,0.252212389380531,0.252212389380531,0.252212389380531,0.252212389380531
"JF930327",0.371681415929204,0.358407079646018,0.433628318584071,0.407079646017699,0.420353982300885,0.393805309734513,0.398230088495575,0.393805309734513,0.433628318584071,0.411504424778761,0.407079646017699,0.438053097345133,0.438053097345133,0.438053097345133,0.442477876106195,0.438053097345133,0.305309734513274,0.300884955752212,0.300884955752212,0.265486725663717,0.256637168141593,0.269911504424779,0.269911504424779,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.00442477876106195,0,0,0,0,0,0.00442477876106195,0,0,0,0,0,0,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.238938053097345,0.230088495575221,0.230088495575221,0.230088495575221,0.234513274336283,0.234513274336283,0.238938053097345,0.225663716814159,0.238938053097345,0.234513274336283,0.234513274336283,0.234513274336283,0.234513274336283,0.234513274336283,0.234513274336283,0.225663716814159,0.230088495575221,0.230088495575221,0.234513274336283,0.247787610619469,0.243362831858407,0.243362831858407,0.243362831858407,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.243362831858407,0.247787610619469,0.247787610619469,0.247787610619469,0.243362831858407,0.252212389380531,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469
"SRR11603182B",0.371681415929204,0.358407079646018,0.433628318584071,0.407079646017699,0.420353982300885,0.393805309734513,0.398230088495575,0.393805309734513,0.433628318584071,0.411504424778761,0.407079646017699,0.438053097345133,0.438053097345133,0.438053097345133,0.442477876106195,0.438053097345133,0.305309734513274,0.300884955752212,0.300884955752212,0.265486725663717,0.256637168141593,0.269911504424779,0.269911504424779,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.00442477876106195,0,0,0,0,0,0.00442477876106195,0,0,0,0,0,0,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.238938053097345,0.230088495575221,0.230088495575221,0.230088495575221,0.234513274336283,0.234513274336283,0.238938053097345,0.225663716814159,0.238938053097345,0.234513274336283,0.234513274336283,0.234513274336283,0.234513274336283,0.234513274336283,0.234513274336283,0.225663716814159,0.230088495575221,0.230088495575221,0.234513274336283,0.247787610619469,0.243362831858407,0.243362831858407,0.243362831858407,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.243362831858407,0.247787610619469,0.247787610619469,0.247787610619469,0.243362831858407,0.252212389380531,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469
"SRR11603184C",0.371681415929204,0.358407079646018,0.433628318584071,0.407079646017699,0.420353982300885,0.393805309734513,0.398230088495575,0.393805309734513,0.433628318584071,0.411504424778761,0.407079646017699,0.438053097345133,0.438053097345133,0.438053097345133,0.442477876106195,0.438053097345133,0.305309734513274,0.300884955752212,0.300884955752212,0.265486725663717,0.256637168141593,0.269911504424779,0.269911504424779,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.00442477876106195,0,0,0,0,0,0.00442477876106195,0,0,0,0,0,0,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.238938053097345,0.230088495575221,0.230088495575221,0.230088495575221,0.234513274336283,0.234513274336283,0.238938053097345,0.225663716814159,0.238938053097345,0.234513274336283,0.234513274336283,0.234513274336283,0.234513274336283,0.234513274336283,0.234513274336283,0.225663716814159,0.230088495575221,0.230088495575221,0.234513274336283,0.247787610619469,0.243362831858407,0.243362831858407,0.243362831858407,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.243362831858407,0.247787610619469,0.247787610619469,0.247787610619469,0.243362831858407,0.252212389380531,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469
"SRR11190793B",0.371681415929204,0.358407079646018,0.433628318584071,0.407079646017699,0.420353982300885,0.393805309734513,0.398230088495575,0.393805309734513,0.433628318584071,0.411504424778761,0.407079646017699,0.438053097345133,0.438053097345133,0.438053097345133,0.442477876106195,0.438053097345133,0.305309734513274,0.300884955752212,0.300884955752212,0.265486725663717,0.256637168141593,0.269911504424779,0.269911504424779,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.00442477876106195,0,0,0,0,0,0.00442477876106195,0,0,0,0,0,0,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.238938053097345,0.230088495575221,0.230088495575221,0.230088495575221,0.234513274336283,0.234513274336283,0.238938053097345,0.225663716814159,0.238938053097345,0.234513274336283,0.234513274336283,0.234513274336283,0.234513274336283,0.234513274336283,0.234513274336283,0.225663716814159,0.230088495575221,0.230088495575221,0.234513274336283,0.247787610619469,0.243362831858407,0.243362831858407,0.243362831858407,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.243362831858407,0.247787610619469,0.247787610619469,0.247787610619469,0.243362831858407,0.252212389380531,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469
"SRR11190796D",0.371681415929204,0.358407079646018,0.433628318584071,0.407079646017699,0.420353982300885,0.393805309734513,0.398230088495575,0.393805309734513,0.433628318584071,0.411504424778761,0.407079646017699,0.438053097345133,0.438053097345133,0.438053097345133,0.442477876106195,0.438053097345133,0.305309734513274,0.300884955752212,0.300884955752212,0.265486725663717,0.256637168141593,0.269911504424779,0.269911504424779,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.00442477876106195,0,0,0,0,0,0.00442477876106195,0,0,0,0,0,0,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.238938053097345,0.230088495575221,0.230088495575221,0.230088495575221,0.234513274336283,0.234513274336283,0.238938053097345,0.225663716814159,0.238938053097345,0.234513274336283,0.234513274336283,0.234513274336283,0.234513274336283,0.234513274336283,0.234513274336283,0.225663716814159,0.230088495575221,0.230088495575221,0.234513274336283,0.247787610619469,0.243362831858407,0.243362831858407,0.243362831858407,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.243362831858407,0.247787610619469,0.247787610619469,0.247787610619469,0.243362831858407,0.252212389380531,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469
"SRR11190797D",0.371681415929204,0.358407079646018,0.433628318584071,0.407079646017699,0.420353982300885,0.393805309734513,0.398230088495575,0.393805309734513,0.433628318584071,0.411504424778761,0.407079646017699,0.438053097345133,0.438053097345133,0.438053097345133,0.442477876106195,0.438053097345133,0.305309734513274,0.300884955752212,0.300884955752212,0.265486725663717,0.256637168141593,0.269911504424779,0.269911504424779,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.00442477876106195,0,0,0,0,0,0.00442477876106195,0,0,0,0,0,0,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.238938053097345,0.230088495575221,0.230088495575221,0.230088495575221,0.234513274336283,0.234513274336283,0.238938053097345,0.225663716814159,0.238938053097345,0.234513274336283,0.234513274336283,0.234513274336283,0.234513274336283,0.234513274336283,0.234513274336283,0.225663716814159,0.230088495575221,0.230088495575221,0.234513274336283,0.247787610619469,0.243362831858407,0.243362831858407,0.243362831858407,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.243362831858407,0.247787610619469,0.247787610619469,0.247787610619469,0.243362831858407,0.252212389380531,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469,0.247787610619469
"SRR11603191C",0.371681415929204,0.36283185840708,0.433628318584071,0.407079646017699,0.420353982300885,0.393805309734513,0.398230088495575,0.393805309734513,0.429203539823009,0.411504424778761,0.411504424778761,0.438053097345133,0.438053097345133,0.438053097345133,0.442477876106195,0.438053097345133,0.305309734513274,0.300884955752212,0.300884955752212,0.265486725663717,0.256637168141593,0.269911504424779,0.269911504424779,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.00884955752212389,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00884955752212389,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0,0,0,0,0,0.234513274336283,0.225663716814159,0.225663716814159,0.225663716814159,0.230088495575221,0.230088495575221,0.234513274336283,0.221238938053097,0.234513274336283,0.230088495575221,0.230088495575221,0.230088495575221,0.230088495575221,0.230088495575221,0.230088495575221,0.221238938053097,0.225663716814159,0.225663716814159,0.230088495575221,0.243362831858407,0.238938053097345,0.238938053097345,0.238938053097345,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.238938053097345,0.243362831858407,0.243362831858407,0.243362831858407,0.238938053097345,0.247787610619469,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407
"SRR11603189D",0.371681415929204,0.36283185840708,0.433628318584071,0.407079646017699,0.420353982300885,0.393805309734513,0.398230088495575,0.393805309734513,0.429203539823009,0.411504424778761,0.411504424778761,0.438053097345133,0.438053097345133,0.438053097345133,0.442477876106195,0.438053097345133,0.305309734513274,0.300884955752212,0.300884955752212,0.265486725663717,0.256637168141593,0.269911504424779,0.269911504424779,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.00884955752212389,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00884955752212389,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0,0,0,0,0,0.234513274336283,0.225663716814159,0.225663716814159,0.225663716814159,0.230088495575221,0.230088495575221,0.234513274336283,0.221238938053097,0.234513274336283,0.230088495575221,0.230088495575221,0.230088495575221,0.230088495575221,0.230088495575221,0.230088495575221,0.221238938053097,0.225663716814159,0.225663716814159,0.230088495575221,0.243362831858407,0.238938053097345,0.238938053097345,0.238938053097345,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.238938053097345,0.243362831858407,0.243362831858407,0.243362831858407,0.238938053097345,0.247787610619469,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407
"SRR11603187D",0.371681415929204,0.36283185840708,0.433628318584071,0.407079646017699,0.420353982300885,0.393805309734513,0.398230088495575,0.393805309734513,0.429203539823009,0.411504424778761,0.411504424778761,0.438053097345133,0.438053097345133,0.438053097345133,0.442477876106195,0.438053097345133,0.305309734513274,0.300884955752212,0.300884955752212,0.265486725663717,0.256637168141593,0.269911504424779,0.269911504424779,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.00884955752212389,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00884955752212389,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0,0,0,0,0,0.234513274336283,0.225663716814159,0.225663716814159,0.225663716814159,0.230088495575221,0.230088495575221,0.234513274336283,0.221238938053097,0.234513274336283,0.230088495575221,0.230088495575221,0.230088495575221,0.230088495575221,0.230088495575221,0.230088495575221,0.221238938053097,0.225663716814159,0.225663716814159,0.230088495575221,0.243362831858407,0.238938053097345,0.238938053097345,0.238938053097345,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.238938053097345,0.243362831858407,0.243362831858407,0.243362831858407,0.238938053097345,0.247787610619469,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407
"SRR11603186C",0.371681415929204,0.36283185840708,0.433628318584071,0.407079646017699,0.420353982300885,0.393805309734513,0.398230088495575,0.393805309734513,0.429203539823009,0.411504424778761,0.411504424778761,0.438053097345133,0.438053097345133,0.438053097345133,0.442477876106195,0.438053097345133,0.305309734513274,0.300884955752212,0.300884955752212,0.265486725663717,0.256637168141593,0.269911504424779,0.269911504424779,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.00884955752212389,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00884955752212389,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0,0,0,0,0,0.234513274336283,0.225663716814159,0.225663716814159,0.225663716814159,0.230088495575221,0.230088495575221,0.234513274336283,0.221238938053097,0.234513274336283,0.230088495575221,0.230088495575221,0.230088495575221,0.230088495575221,0.230088495575221,0.230088495575221,0.221238938053097,0.225663716814159,0.225663716814159,0.230088495575221,0.243362831858407,0.238938053097345,0.238938053097345,0.238938053097345,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.238938053097345,0.243362831858407,0.243362831858407,0.243362831858407,0.238938053097345,0.247787610619469,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407
"SRR11603190C",0.371681415929204,0.36283185840708,0.433628318584071,0.407079646017699,0.420353982300885,0.393805309734513,0.398230088495575,0.393805309734513,0.429203539823009,0.411504424778761,0.411504424778761,0.438053097345133,0.438053097345133,0.438053097345133,0.442477876106195,0.438053097345133,0.305309734513274,0.300884955752212,0.300884955752212,0.265486725663717,0.256637168141593,0.269911504424779,0.269911504424779,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.261061946902655,0.00884955752212389,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00884955752212389,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0.00442477876106195,0,0,0,0,0,0.234513274336283,0.225663716814159,0.225663716814159,0.225663716814159,0.230088495575221,0.230088495575221,0.234513274336283,0.221238938053097,0.234513274336283,0.230088495575221,0.230088495575221,0.230088495575221,0.230088495575221,0.230088495575221,0.230088495575221,0.221238938053097,0.225663716814159,0.225663716814159,0.230088495575221,0.243362831858407,0.238938053097345,0.238938053097345,0.238938053097345,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.238938053097345,0.243362831858407,0.243362831858407,0.243362831858407,0.238938053097345,0.247787610619469,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407,0.243362831858407
